timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2023-03-07 06:00:00,22448.50,22448.60,22402.50,22408.40,11484.670,2023-03-07 07:59:59,257534108.39940,84497,5605.694,125705531.87820,0
2023-03-07 08:00:00,22408.50,22414.70,22337.90,22370.80,21046.215,2023-03-07 09:59:59,471046445.14600,134249,10423.229,233307953.70780,0
2023-03-07 10:00:00,22370.90,22419.70,22303.30,22339.80,21897.690,2023-03-07 11:59:59,489751803.12200,139596,10253.299,229360451.77020,0
2023-03-07 12:00:00,22339.80,22400.00,22325.10,22351.80,16531.494,2023-03-07 13:59:59,369828550.33930,115630,8237.079,184274833.79820,0
2023-03-07 14:00:00,22351.80,22482.60,21908.00,22307.50,224868.882,2023-03-07 15:59:59,4995056734.49407,1129494,109767.527,2439110425.28131,0
2023-03-07 16:00:00,22307.60,22387.60,22180.10,22296.20,68721.700,2023-03-07 17:59:59,1531279018.23990,431604,33829.268,753839217.33120,0
2023-03-07 18:00:00,22296.20,22319.00,22039.00,22118.60,43225.759,2023-03-07 19:59:59,959295317.36739,259637,21075.861,467834963.27370,0
2023-03-07 20:00:00,22118.50,22136.40,21929.00,22046.10,63571.215,2023-03-07 21:59:59,1401350791.80160,375693,30868.337,680511585.57250,0
2023-03-07 22:00:00,22046.00,22223.40,21970.70,22187.10,31911.418,2023-03-07 23:59:59,705448890.62090,217774,17096.737,377942511.19160,0
2023-03-08 00:00:00,22187.10,22276.40,22124.40,22162.50,29935.974,2023-03-08 01:59:59,664896766.91520,169100,13257.377,294455577.83550,0
2023-03-08 02:00:00,22162.60,22197.80,22073.30,22141.80,21213.497,2023-03-08 03:59:59,469702666.90120,126966,10325.260,228631822.17470,0
2023-03-08 04:00:00,22141.80,22155.50,21800.00,21944.30,59367.156,2023-03-08 05:59:59,1304837981.29300,293284,26736.806,587805640.42840,0
2023-03-08 06:00:00,21944.20,22042.60,21920.40,21962.20,30168.555,2023-03-08 07:59:59,663402376.02490,198110,15510.376,341077668.64730,0
2023-03-08 08:00:00,21962.20,22021.90,21932.80,22003.00,21182.909,2023-03-08 09:59:59,465684678.19100,143192,11191.496,246036508.94230,0
2023-03-08 10:00:00,22003.00,22135.00,21991.90,22061.20,35665.408,2023-03-08 11:59:59,787278051.36220,203054,19007.666,419560321.29780,0
2023-03-08 12:00:00,22061.10,22100.00,21934.40,21981.80,41715.608,2023-03-08 13:59:59,918245510.93020,261418,20022.329,440761586.87180,0
2023-03-08 14:00:00,21981.80,22222.00,21880.00,22129.50,106868.851,2023-03-08 15:59:59,2356606350.10270,616055,54667.459,1205758770.06360,0
2023-03-08 16:00:00,22129.60,22209.20,22020.00,22026.40,44117.688,2023-03-08 17:59:59,975381574.46660,280134,21084.876,466221214.00910,0
2023-03-08 18:00:00,22026.30,22055.00,21936.00,21993.70,33338.589,2023-03-08 19:59:59,733482407.35980,236998,16032.800,352765718.37990,0
2023-03-08 20:00:00,21993.80,22127.40,21900.00,22005.00,37065.663,2023-03-08 21:59:59,816300997.21490,237124,18381.424,404918204.04450,0
2023-03-08 22:00:00,22004.90,22010.00,21540.50,21695.40,87228.069,2023-03-08 23:59:59,1897169192.89500,510795,37298.938,811362251.63860,0
2023-03-09 00:00:00,21695.30,21756.20,21616.50,21694.20,33347.732,2023-03-09 01:59:59,723847723.98120,225654,16573.543,359773725.38100,0
2023-03-09 02:00:00,21694.20,21798.00,21692.90,21762.60,20262.153,2023-03-09 03:59:59,440859158.23060,138227,10514.569,228778782.11240,0
2023-03-09 04:00:00,21762.60,21766.00,21711.10,21729.30,12234.902,2023-03-09 05:59:59,265936381.36200,93773,6092.554,132427453.82800,0
2023-03-09 06:00:00,21729.30,21737.20,21660.00,21680.90,17993.844,2023-03-09 07:59:59,390515810.93320,130004,8746.062,189809724.24520,0
2023-03-09 08:00:00,21680.90,21694.50,21567.00,21631.00,46235.286,2023-03-09 09:59:59,1000605575.87710,265554,21297.295,460986462.38410,0
2023-03-09 10:00:00,21631.00,21677.00,21511.10,21664.40,38701.304,2023-03-09 11:59:59,836755634.37460,220955,19966.573,431821918.27080,0
2023-03-09 12:00:00,21664.40,21741.00,21550.00,21698.60,52964.253,2023-03-09 13:59:59,1146222005.65710,304804,27382.449,592660081.97170,0
2023-03-09 14:00:00,21698.70,21823.00,21625.40,21637.40,75961.021,2023-03-09 15:59:59,1650929473.64350,427386,38814.685,843748734.56310,0
2023-03-09 16:00:00,21637.40,21666.40,21362.30,21462.90,107619.279,2023-03-09 17:59:59,2314484302.19914,570616,50030.900,1076108814.38140,0
2023-03-09 18:00:00,21462.90,21483.60,20750.00,20845.60,210052.762,2023-03-09 19:59:59,4419309848.62184,1117685,94410.961,1985778845.30350,0
2023-03-09 20:00:00,20845.60,20858.40,20003.50,20204.00,276211.964,2023-03-09 21:59:59,5642107053.26104,1410958,127903.909,2613287347.51480,0
2023-03-09 22:00:00,20203.90,20487.40,20202.60,20348.30,60318.860,2023-03-09 23:59:59,1226723331.91330,384905,29782.053,605756546.95480,0
2023-03-10 00:00:00,20348.40,20351.80,19752.00,20100.40,185741.548,2023-03-10 01:59:59,3720787560.89109,900866,86071.149,1724257250.03657,0
2023-03-10 02:00:00,20100.40,20133.00,19957.00,20042.10,42660.716,2023-03-10 03:59:59,855899779.10350,244703,19821.108,397717909.37650,0
2023-03-10 04:00:00,20042.10,20052.00,19824.40,19978.30,66018.647,2023-03-10 05:59:59,1316527474.04090,382625,32906.666,656199510.78850,0
2023-03-10 06:00:00,19978.40,20029.80,19757.00,19942.90,78171.225,2023-03-10 07:59:59,1556415185.08145,438043,39129.895,779152340.54260,0
2023-03-10 08:00:00,19943.00,19967.60,19818.00,19843.60,45541.544,2023-03-10 09:59:59,906133603.58650,305788,23017.901,458018042.49180,0
2023-03-10 10:00:00,19843.60,19914.30,19521.60,19750.00,144170.796,2023-03-10 11:59:59,2841143972.36972,791673,68318.308,1346628229.50280,0
2023-03-10 12:00:00,19749.90,20293.00,19718.40,20173.00,175882.424,2023-03-10 13:59:59,3521823311.62032,893291,91727.438,1836843777.72672,0
2023-03-10 14:00:00,20173.00,20179.10,19650.00,19995.00,201727.946,2023-03-10 15:59:59,4014458239.87685,984399,100642.245,2002881545.93850,0
2023-03-10 16:00:00,19995.00,20298.00,19815.60,19921.60,135122.250,2023-03-10 17:59:59,2705565046.30787,727016,68671.695,1375234218.12297,0
2023-03-10 18:00:00,19921.60,20062.50,19815.60,20015.30,58500.090,2023-03-10 19:59:59,1165683707.31230,343652,30303.916,603906855.53340,0
2023-03-10 20:00:00,20014.50,20120.70,19835.00,20069.20,49088.184,2023-03-10 21:59:59,980128427.61160,283851,24137.392,482010235.39840,0
2023-03-10 22:00:00,20069.20,20232.50,20015.00,20140.30,55509.895,2023-03-10 23:59:59,1117055794.63650,374198,28699.270,577595868.92390,0
2023-03-11 00:00:00,20140.30,20674.50,20124.80,20571.70,124168.282,2023-03-11 01:59:59,2533629549.69259,668705,67915.152,1386017036.52619,0
2023-03-11 02:00:00,20571.70,20629.00,20309.50,20381.20,83805.209,2023-03-11 03:59:59,1712954303.22300,478508,41207.180,842158063.58310,0
2023-03-11 04:00:00,20381.30,20424.70,20260.00,20380.10,38394.846,2023-03-11 05:59:59,780976787.50920,281652,19677.698,400278199.51860,0
2023-03-11 06:00:00,20380.00,20395.00,19812.20,19844.30,101337.371,2023-03-11 07:59:59,2035990227.82672,596739,47158.378,947092650.87490,0
2023-03-11 08:00:00,19844.40,20200.00,19752.50,20080.50,109087.026,2023-03-11 09:59:59,2182018117.90362,652828,56781.464,1135946602.96477,0
2023-03-11 10:00:00,20080.60,20148.80,19963.30,20077.60,41113.002,2023-03-11 11:59:59,824444950.03660,335124,20802.873,417208248.07190,0
2023-03-11 12:00:00,20077.50,20135.70,20017.30,20070.10,32098.500,2023-03-11 13:59:59,644454267.43500,260464,16776.396,336849715.44750,0
2023-03-11 14:00:00,20070.00,20195.00,20029.10,20052.30,38110.050,2023-03-11 15:59:59,766404843.74770,293874,18775.267,377610777.92180,0
2023-03-11 16:00:00,20052.30,20348.30,19968.30,20236.60,56779.281,2023-03-11 17:59:59,1143062186.91979,374629,30406.489,612235404.36619,0
2023-03-11 18:00:00,20236.90,20312.10,20127.30,20210.00,39932.456,2023-03-11 19:59:59,807475500.93960,299242,18771.767,379610375.96800,0
2023-03-11 20:00:00,20209.90,20454.70,20206.70,20347.20,46430.550,2023-03-11 21:59:59,943722246.38380,325313,24566.360,499336950.60850,0
2023-03-11 22:00:00,20347.30,20531.00,20289.60,20447.30,42222.985,2023-03-11 23:59:59,861263262.38570,288542,22751.683,464172721.25810,0
2023-03-12 00:00:00,20447.30,20490.00,20328.00,20408.50,39770.006,2023-03-12 01:59:59,811704746.17630,261814,19937.737,406951229.09620,0
2023-03-12 02:00:00,20408.50,20465.00,20298.30,20367.40,29811.266,2023-03-12 03:59:59,607244573.87360,204454,15454.208,314847811.10770,0
2023-03-12 04:00:00,20367.70,20429.70,20313.00,20343.50,18925.797,2023-03-12 05:59:59,385593060.90590,142318,9131.265,186066526.52920,0
2023-03-12 06:00:00,20343.50,20373.30,20262.20,20335.60,20423.571,2023-03-12 07:59:59,415185786.90810,151979,10238.590,208153041.59770,0
2023-03-12 08:00:00,20335.60,20427.20,20326.80,20374.50,24981.517,2023-03-12 09:59:59,508910874.94020,185291,12819.419,261163248.13690,0
2023-03-12 10:00:00,20374.50,20488.50,20355.40,20435.00,26581.572,2023-03-12 11:59:59,543092983.09260,188716,13819.248,282368973.04780,0
2023-03-12 12:00:00,20434.90,20452.30,20307.00,20371.60,36657.555,2023-03-12 13:59:59,747141520.93810,257246,17685.452,360483698.89280,0
2023-03-12 14:00:00,20371.60,20407.80,20270.00,20347.90,36602.914,2023-03-12 15:59:59,744752291.39830,234865,18216.269,370672047.73000,0
